datahora_extracao,indicador,valor,unidade,fonte
26/07/2026 11:53,Nível Guaiba_PortoAlegre_CaisMaua,0.98,m,ANA / fallback
26/07/2026 11:53,Tendência 48h Guaiba_PortoAlegre_CaisMaua,,m/48h,ANA
26/07/2026 11:53,Nível Rio_Gravatai,,m,ANA / fallback
26/07/2026 11:53,Tendência 48h Rio_Gravatai,,m/48h,ANA
26/07/2026 11:53,Nível Rio_dos_Sinos_SaoLeopoldo,,m,ANA / fallback
26/07/2026 11:53,Tendência 48h Rio_dos_Sinos_SaoLeopoldo,,m/48h,ANA
26/07/2026 11:53,Nível Rio_Cai,,m,ANA / fallback
26/07/2026 11:53,Tendência 48h Rio_Cai,,m/48h,ANA
26/07/2026 11:53,Nível Rio_Cai_Montenegro,,m,ANA / fallback
26/07/2026 11:53,Tendência 48h Rio_Cai_Montenegro,,m/48h,ANA
26/07/2026 11:53,Nível Rio_Cai_NovaPalmira,,m,ANA / fallback
26/07/2026 11:53,Tendência 48h Rio_Cai_NovaPalmira,,m/48h,ANA
26/07/2026 11:53,Nível Rio_Jacui_Triunfo,,m,ANA / fallback
26/07/2026 11:53,Tendência 48h Rio_Jacui_Triunfo,,m/48h,ANA
26/07/2026 11:53,Cota de Atenção (Guaíba),2.5,m,Plano Contingência
26/07/2026 11:53,Cota de Alerta (Guaíba),3.15,m,Plano Contingência
26/07/2026 11:53,Cota de Inundação (Guaíba),3.6,m,Plano Contingência
26/07/2026 11:53,acumulado_obs_24h_mm,2.3,mm,Open-Meteo
26/07/2026 11:53,acumulado_obs_72h_mm,5.1,mm,Open-Meteo
26/07/2026 11:53,acumulado_obs_7d_mm,123.4,mm,Open-Meteo
26/07/2026 11:53,previsto_24h_mm,5.0,mm,Open-Meteo
26/07/2026 11:53,previsto_48h_mm,12.0,mm,Open-Meteo
26/07/2026 11:53,previsto_72h_mm,61.4,mm,Open-Meteo
26/07/2026 11:53,dias_chuva_intensa_5d,0,dias,Open-Meteo
26/07/2026 11:53,Aviso INMET (máx severidade),,-,INMET
26/07/2026 11:53,Qtd avisos INMET vigentes,0,un,INMET
26/07/2026 11:53,Alerta Poaclima vigente,,-,Poaclima
26/07/2026 11:53,Chuva acumulada Poaclima,,mm,Poaclima
26/07/2026 11:53,Nível Usina do Gasômetro (Poaclima),1.29,m,Poaclima
26/07/2026 11:53,Nível Cais Mauá (Poaclima),1.85,m,Poaclima
26/07/2026 11:53,Nível Riacho Ipiranga (Poaclima),0.38,m,Poaclima
26/07/2026 11:53,Alertas regionais vigentes (Defesa Civil),3,un,Poaclima
26/07/2026 11:53,Alerta regional — (17) Ilhas,Alerta de risco alto · Inundação · até 27/07/2026 12:00,-,Poaclima/Defesa Civil
26/07/2026 11:53,Alerta regional — (15) Sul,Alerta de risco alto · Inundação · até 27/07/2026 12:00,-,Poaclima/Defesa Civil
26/07/2026 11:53,Alerta regional — (13) Extremo sul,Alerta de risco alto · Inundação · até 27/07/2026 12:00,-,Poaclima/Defesa Civil
