datahora_extracao,indicador,valor,unidade,fonte
27/07/2026 21:13,Nível Guaiba_PortoAlegre_CaisMaua,1.71,m,ANA / fallback
27/07/2026 21:13,Tendência 48h Guaiba_PortoAlegre_CaisMaua,-0.31,m/48h,ANA
27/07/2026 21:13,Nível Rio_Gravatai,4.65,m,ANA / fallback
27/07/2026 21:13,Tendência 48h Rio_Gravatai,0.05,m/48h,ANA
27/07/2026 21:13,Nível Rio_dos_Sinos_SaoLeopoldo,4.54,m,ANA / fallback
27/07/2026 21:13,Tendência 48h Rio_dos_Sinos_SaoLeopoldo,0.01,m/48h,ANA
27/07/2026 21:13,Nível Rio_Cai,3.78,m,ANA / fallback
27/07/2026 21:13,Tendência 48h Rio_Cai,-2.06,m/48h,ANA
27/07/2026 21:13,Nível Rio_Cai_Montenegro,2.62,m,ANA / fallback
27/07/2026 21:13,Tendência 48h Rio_Cai_Montenegro,-1.98,m/48h,ANA
27/07/2026 21:13,Nível Rio_Cai_NovaPalmira,1.67,m,ANA / fallback
27/07/2026 21:13,Tendência 48h Rio_Cai_NovaPalmira,-0.13,m/48h,ANA
27/07/2026 21:13,Nível Rio_Jacui_Triunfo,9.19,m,ANA / fallback
27/07/2026 21:13,Tendência 48h Rio_Jacui_Triunfo,0.69,m/48h,ANA
27/07/2026 21:13,Cota de Atenção (Guaíba),2.05,m,Plano Contingência
27/07/2026 21:13,Cota de Alerta (Guaíba),2.5,m,Plano Contingência
27/07/2026 21:13,Cota de Inundação (Guaíba),3.0,m,Plano Contingência
27/07/2026 21:13,acumulado_obs_24h_mm,9.2,mm,Open-Meteo
27/07/2026 21:13,acumulado_obs_72h_mm,18.9,mm,Open-Meteo
27/07/2026 21:13,acumulado_obs_7d_mm,110.9,mm,Open-Meteo
27/07/2026 21:13,previsto_24h_mm,25.0,mm,Open-Meteo
27/07/2026 21:13,previsto_48h_mm,49.7,mm,Open-Meteo
27/07/2026 21:13,previsto_72h_mm,49.7,mm,Open-Meteo
27/07/2026 21:13,dias_chuva_intensa_5d,0,dias,Open-Meteo
27/07/2026 21:13,Aviso INMET (máx severidade),,-,INMET
27/07/2026 21:13,Qtd avisos INMET vigentes,0,un,INMET
27/07/2026 21:13,Chuva observada 24h,28.8,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
27/07/2026 21:13,Chuva observada 72h,31.8,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
27/07/2026 21:13,Chuva observada 7 dias,104.6,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
27/07/2026 21:13,Dias com chuva (últimos 5),2,dias,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
27/07/2026 21:13,Qualidade da série de chuva,105 mm/7d · cobertura 100%,-,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
