datahora_extracao,indicador,valor,unidade,fonte
29/07/2026 07:17,Nível Guaiba_PortoAlegre_CaisMaua,1.93,m,ANA / fallback
29/07/2026 07:17,Tendência 48h Guaiba_PortoAlegre_CaisMaua,0.2,m/48h,ANA
29/07/2026 07:17,Nível Rio_Gravatai,4.8,m,ANA / fallback
29/07/2026 07:17,Tendência 48h Rio_Gravatai,0.17,m/48h,ANA
29/07/2026 07:17,Nível Rio_dos_Sinos_SaoLeopoldo,4.74,m,ANA / fallback
29/07/2026 07:17,Tendência 48h Rio_dos_Sinos_SaoLeopoldo,0.2,m/48h,ANA
29/07/2026 07:17,Nível Rio_Cai,10.88,m,ANA / fallback
29/07/2026 07:17,Tendência 48h Rio_Cai,6.77,m/48h,ANA
29/07/2026 07:17,Nível Rio_Cai_Montenegro,5.93,m,ANA / fallback
29/07/2026 07:17,Tendência 48h Rio_Cai_Montenegro,2.97,m/48h,ANA
29/07/2026 07:17,Nível Rio_Cai_NovaPalmira,5.01,m,ANA / fallback
29/07/2026 07:17,Tendência 48h Rio_Cai_NovaPalmira,3.32,m/48h,ANA
29/07/2026 07:17,Nível Rio_Jacui_Triunfo,9.47,m,ANA / fallback
29/07/2026 07:17,Tendência 48h Rio_Jacui_Triunfo,0.36,m/48h,ANA
29/07/2026 07:17,Cota de Atenção (Guaíba),2.05,m,Plano Contingência
29/07/2026 07:17,Cota de Alerta (Guaíba),2.5,m,Plano Contingência
29/07/2026 07:17,Cota de Inundação (Guaíba),3.0,m,Plano Contingência
29/07/2026 07:17,acumulado_obs_24h_mm,28.6,mm,Open-Meteo
29/07/2026 07:17,acumulado_obs_72h_mm,73.7,mm,Open-Meteo
29/07/2026 07:17,acumulado_obs_7d_mm,99.9,mm,Open-Meteo
29/07/2026 07:17,previsto_24h_mm,0.4,mm,Open-Meteo
29/07/2026 07:17,previsto_48h_mm,0.5,mm,Open-Meteo
29/07/2026 07:17,previsto_72h_mm,0.5,mm,Open-Meteo
29/07/2026 07:17,dias_chuva_intensa_5d,0,dias,Open-Meteo
29/07/2026 07:17,Aviso INMET (máx severidade),,-,INMET
29/07/2026 07:17,Qtd avisos INMET vigentes,0,un,INMET
29/07/2026 07:17,Chuva observada 24h,47.8,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
29/07/2026 07:17,Chuva observada 72h,99.8,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
29/07/2026 07:17,Chuva observada 7 dias,122.6,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
29/07/2026 07:17,Dias com chuva (últimos 5),3,dias,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
29/07/2026 07:17,Qualidade da série de chuva,123 mm/7d · cobertura 100%,-,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
29/07/2026 07:17,Fonte testada — INMET A801 — PORTO ALEGRE - JARDIM BOTANICO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
29/07/2026 07:17,Fonte testada — INMET B808 — CACHOEIRINHA,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
