datahora_extracao,indicador,valor,unidade,fonte
27/07/2026 14:47,Nível Guaiba_PortoAlegre_CaisMaua,1.68,m,ANA / fallback
27/07/2026 14:47,Tendência 48h Guaiba_PortoAlegre_CaisMaua,-0.39,m/48h,ANA
27/07/2026 14:47,Nível Rio_Gravatai,4.62,m,ANA / fallback
27/07/2026 14:47,Tendência 48h Rio_Gravatai,0.04,m/48h,ANA
27/07/2026 14:47,Nível Rio_dos_Sinos_SaoLeopoldo,4.52,m,ANA / fallback
27/07/2026 14:47,Tendência 48h Rio_dos_Sinos_SaoLeopoldo,0.02,m/48h,ANA
27/07/2026 14:47,Nível Rio_Cai,3.9,m,ANA / fallback
27/07/2026 14:47,Tendência 48h Rio_Cai,-2.35,m/48h,ANA
27/07/2026 14:47,Nível Rio_Cai_Montenegro,2.73,m,ANA / fallback
27/07/2026 14:47,Tendência 48h Rio_Cai_Montenegro,-2.19,m/48h,ANA
27/07/2026 14:47,Nível Rio_Cai_NovaPalmira,1.68,m,ANA / fallback
27/07/2026 14:47,Tendência 48h Rio_Cai_NovaPalmira,-0.14,m/48h,ANA
27/07/2026 14:47,Nível Rio_Jacui_Triunfo,9.19,m,ANA / fallback
27/07/2026 14:47,Tendência 48h Rio_Jacui_Triunfo,0.69,m/48h,ANA
27/07/2026 14:47,Cota de Atenção (Guaíba),2.05,m,Plano Contingência
27/07/2026 14:47,Cota de Alerta (Guaíba),2.5,m,Plano Contingência
27/07/2026 14:47,Cota de Inundação (Guaíba),3.0,m,Plano Contingência
27/07/2026 14:47,acumulado_obs_24h_mm,6.0,mm,Open-Meteo
27/07/2026 14:47,acumulado_obs_72h_mm,13.1,mm,Open-Meteo
27/07/2026 14:47,acumulado_obs_7d_mm,114.2,mm,Open-Meteo
27/07/2026 14:47,previsto_24h_mm,34.2,mm,Open-Meteo
27/07/2026 14:47,previsto_48h_mm,66.4,mm,Open-Meteo
27/07/2026 14:47,previsto_72h_mm,66.4,mm,Open-Meteo
27/07/2026 14:47,dias_chuva_intensa_5d,0,dias,Open-Meteo
27/07/2026 14:47,Aviso INMET (máx severidade),,-,INMET
27/07/2026 14:47,Qtd avisos INMET vigentes,0,un,INMET
27/07/2026 14:47,Chuva observada 24h,1.2,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
27/07/2026 14:47,Chuva observada 72h,3.0,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
27/07/2026 14:47,Chuva observada 7 dias,92.6,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
27/07/2026 14:47,Dias com chuva (últimos 5),1,dias,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
27/07/2026 14:47,Qualidade da série de chuva,93 mm/7d · cobertura 100%,-,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
27/07/2026 14:47,Fonte testada — INMET A801 — PORTO ALEGRE - JARDIM BOTANICO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
27/07/2026 14:47,Fonte testada — INMET B808 — CACHOEIRINHA,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
27/07/2026 14:47,Fonte testada — INMET B825 — PORTO ALEGRE - BELEM NOVO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
27/07/2026 14:47,Fonte testada — INMET B809 — SAPUCAIA DO SUL,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
27/07/2026 14:47,Fonte testada — INMET B824 — VIAMAO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
27/07/2026 14:47,Fonte testada — INMET B814 — MONTENEGRO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
27/07/2026 14:47,Fonte testada — CEMADEN,None mm/7d · REJEITADA · None,-,controle de qualidade
27/07/2026 14:47,Fonte testada — ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico),92.6 mm/7d · ACEITA · 93 mm/7d · cobertura 100%,-,controle de qualidade
27/07/2026 14:47,Chuva prevista 48h (Poaclima/Catavento),65.0,mm,Poaclima/Catavento
27/07/2026 14:47,Previsão 27/07 — Pancadas de chuva isoladas,30.0,mm,Poaclima/Catavento
27/07/2026 14:47,Previsão 28/07 — Chuva e raios,35.0,mm,Poaclima/Catavento
27/07/2026 14:47,Previsão 29/07 — Chuva e raios,40.0,mm,Poaclima/Catavento
27/07/2026 14:47,Previsão 30/07 — Sol entre nuvens,0.0,mm,Poaclima/Catavento
27/07/2026 14:47,Previsão 31/07 — Ensolarado,0.0,mm,Poaclima/Catavento
27/07/2026 14:47,Alerta Poaclima vigente,,-,Poaclima
27/07/2026 14:47,Chuva acumulada Poaclima,,mm,Poaclima
27/07/2026 14:47,Nível Usina do Gasômetro (Poaclima),1.19,m,Poaclima
27/07/2026 14:47,Nível Cais Mauá (Poaclima),1.68,m,Poaclima
27/07/2026 14:47,Nível Riacho Ipiranga (Poaclima),0.38,m,Poaclima
27/07/2026 14:47,Alertas regionais vigentes (Defesa Civil),17,un,Poaclima
27/07/2026 14:47,Alerta regional — (10) Cruzeiro,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
27/07/2026 14:47,Alerta regional — (17) Ilhas,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
27/07/2026 14:47,Alerta regional — (5) Norte,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
27/07/2026 14:47,Alerta regional — (2) Noroeste,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
27/07/2026 14:47,Alerta regional — (14) Eixo baltazar,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
27/07/2026 14:47,Alerta regional — (6) Nordeste,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
27/07/2026 14:47,Alerta regional — (3) Leste,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
27/07/2026 14:47,Alerta regional — (9) Glória,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
27/07/2026 14:47,Alerta regional — (12) Centro sul,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
27/07/2026 14:47,Alerta regional — (8) Restinga,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
27/07/2026 14:47,Alerta regional — (15) Sul,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
27/07/2026 14:47,Alerta regional — (13) Extremo sul,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
27/07/2026 14:47,Alerta regional — (1) Humaitá,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
27/07/2026 14:47,Alerta regional — (16) Centro,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
27/07/2026 14:47,Alerta regional — (7) Partenon,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
27/07/2026 14:47,Alerta regional — (4) Lomba do pinheiro,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
27/07/2026 14:47,Alerta regional — (11) Cristal,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
