datahora_extracao,indicador,valor,unidade,fonte
26/07/2026 16:05,Nível Guaiba_PortoAlegre_CaisMaua,1.79,m,ANA / fallback
26/07/2026 16:05,Tendência 48h Guaiba_PortoAlegre_CaisMaua,-0.36,m/48h,ANA
26/07/2026 16:05,Nível Rio_Gravatai,4.63,m,ANA / fallback
26/07/2026 16:05,Tendência 48h Rio_Gravatai,0.14,m/48h,ANA
26/07/2026 16:05,Nível Rio_dos_Sinos_SaoLeopoldo,4.55,m,ANA / fallback
26/07/2026 16:05,Tendência 48h Rio_dos_Sinos_SaoLeopoldo,0.2,m/48h,ANA
26/07/2026 16:05,Nível Rio_Cai,4.73,m,ANA / fallback
26/07/2026 16:05,Tendência 48h Rio_Cai,-2.94,m/48h,ANA
26/07/2026 16:05,Nível Rio_Cai_Montenegro,3.61,m,ANA / fallback
26/07/2026 16:05,Tendência 48h Rio_Cai_Montenegro,-2.38,m/48h,ANA
26/07/2026 16:05,Nível Rio_Cai_NovaPalmira,1.73,m,ANA / fallback
26/07/2026 16:05,Tendência 48h Rio_Cai_NovaPalmira,-0.22,m/48h,ANA
26/07/2026 16:05,Nível Rio_Jacui_Triunfo,9.11,m,ANA / fallback
26/07/2026 16:05,Tendência 48h Rio_Jacui_Triunfo,0.89,m/48h,ANA
26/07/2026 16:05,Cota de Atenção (Guaíba),2.05,m,Plano Contingência
26/07/2026 16:05,Cota de Alerta (Guaíba),2.5,m,Plano Contingência
26/07/2026 16:05,Cota de Inundação (Guaíba),3.0,m,Plano Contingência
26/07/2026 16:05,acumulado_obs_24h_mm,8.0,mm,Open-Meteo
26/07/2026 16:05,acumulado_obs_72h_mm,9.2,mm,Open-Meteo
26/07/2026 16:05,acumulado_obs_7d_mm,129.1,mm,Open-Meteo
26/07/2026 16:05,previsto_24h_mm,0.3,mm,Open-Meteo
26/07/2026 16:05,previsto_48h_mm,33.7,mm,Open-Meteo
26/07/2026 16:05,previsto_72h_mm,88.1,mm,Open-Meteo
26/07/2026 16:05,dias_chuva_intensa_5d,0,dias,Open-Meteo
26/07/2026 16:05,Aviso INMET (máx severidade),,-,INMET
26/07/2026 16:05,Qtd avisos INMET vigentes,0,un,INMET
26/07/2026 16:05,Chuva observada 24h,1.8,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
26/07/2026 16:05,Chuva observada 72h,2.2,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
26/07/2026 16:05,Chuva observada 7 dias,125.8,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
26/07/2026 16:05,Dias com chuva (últimos 5),2,dias,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
26/07/2026 16:05,Qualidade da série de chuva,126 mm/7d · cobertura 100%,-,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
26/07/2026 16:05,Fonte testada — INMET A801 — PORTO ALEGRE - JARDIM BOTANICO,None mm/7d · REJEITADA · sem dados,-,controle de qualidade
26/07/2026 16:05,Fonte testada — INMET B808 — CACHOEIRINHA,None mm/7d · REJEITADA · sem dados,-,controle de qualidade
26/07/2026 16:05,Fonte testada — INMET B825 — PORTO ALEGRE - BELEM NOVO,None mm/7d · REJEITADA · sem dados,-,controle de qualidade
26/07/2026 16:05,Fonte testada — INMET B809 — SAPUCAIA DO SUL,None mm/7d · REJEITADA · sem dados,-,controle de qualidade
26/07/2026 16:05,Fonte testada — INMET B824 — VIAMAO,None mm/7d · REJEITADA · sem dados,-,controle de qualidade
26/07/2026 16:05,Fonte testada — INMET B814 — MONTENEGRO,None mm/7d · REJEITADA · sem dados,-,controle de qualidade
26/07/2026 16:05,Fonte testada — CEMADEN,None mm/7d · REJEITADA · None,-,controle de qualidade
26/07/2026 16:05,Fonte testada — ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico),125.8 mm/7d · ACEITA · 126 mm/7d · cobertura 100%,-,controle de qualidade
26/07/2026 16:05,Chuva prevista 48h (Poaclima/Catavento),30.0,mm,Poaclima/Catavento
26/07/2026 16:05,Previsão 26/07 — Pancadas de chuva isoladas,15.0,mm,Poaclima/Catavento
26/07/2026 16:05,Previsão 27/07 — Pancadas de chuva isoladas,15.0,mm,Poaclima/Catavento
26/07/2026 16:05,Previsão 28/07 — Chuva e raios,25.0,mm,Poaclima/Catavento
26/07/2026 16:05,Previsão 29/07 — Encoberto e chuva,40.0,mm,Poaclima/Catavento
26/07/2026 16:05,Previsão 30/07 — Sol entre nuvens,0.0,mm,Poaclima/Catavento
26/07/2026 16:05,Alerta Poaclima vigente,,-,Poaclima
26/07/2026 16:05,Chuva acumulada Poaclima,,mm,Poaclima
26/07/2026 16:05,Nível Usina do Gasômetro (Poaclima),1.27,m,Poaclima
26/07/2026 16:05,Nível Cais Mauá (Poaclima),1.79,m,Poaclima
26/07/2026 16:05,Nível Riacho Ipiranga (Poaclima),0.38,m,Poaclima
26/07/2026 16:05,Alertas regionais vigentes (Defesa Civil),3,un,Poaclima
26/07/2026 16:05,Alerta regional — (17) Ilhas,Alerta de risco alto · Inundação · até 27/07/2026 12:00,-,Poaclima/Defesa Civil
26/07/2026 16:05,Alerta regional — (15) Sul,Alerta de risco alto · Inundação · até 27/07/2026 12:00,-,Poaclima/Defesa Civil
26/07/2026 16:05,Alerta regional — (13) Extremo sul,Alerta de risco alto · Inundação · até 27/07/2026 12:00,-,Poaclima/Defesa Civil
