datahora_extracao,indicador,valor,unidade,fonte
27/07/2026 09:00,Nível Guaiba_PortoAlegre_CaisMaua,1.73,m,ANA / fallback
27/07/2026 09:00,Tendência 48h Guaiba_PortoAlegre_CaisMaua,-0.37,m/48h,ANA
27/07/2026 09:00,Nível Rio_Gravatai,4.63,m,ANA / fallback
27/07/2026 09:00,Tendência 48h Rio_Gravatai,0.07,m/48h,ANA
27/07/2026 09:00,Nível Rio_dos_Sinos_SaoLeopoldo,4.54,m,ANA / fallback
27/07/2026 09:00,Tendência 48h Rio_dos_Sinos_SaoLeopoldo,0.07,m/48h,ANA
27/07/2026 09:00,Nível Rio_Cai,4.06,m,ANA / fallback
27/07/2026 09:00,Tendência 48h Rio_Cai,-2.54,m/48h,ANA
27/07/2026 09:00,Nível Rio_Cai_Montenegro,2.91,m,ANA / fallback
27/07/2026 09:00,Tendência 48h Rio_Cai_Montenegro,-2.3,m/48h,ANA
27/07/2026 09:00,Nível Rio_Cai_NovaPalmira,1.69,m,ANA / fallback
27/07/2026 09:00,Tendência 48h Rio_Cai_NovaPalmira,-0.16,m/48h,ANA
27/07/2026 09:00,Nível Rio_Jacui_Triunfo,9.11,m,ANA / fallback
27/07/2026 09:00,Tendência 48h Rio_Jacui_Triunfo,0.89,m/48h,ANA
27/07/2026 09:00,Cota de Atenção (Guaíba),2.05,m,Plano Contingência
27/07/2026 09:00,Cota de Alerta (Guaíba),2.5,m,Plano Contingência
27/07/2026 09:00,Cota de Inundação (Guaíba),3.0,m,Plano Contingência
27/07/2026 09:00,acumulado_obs_24h_mm,10.0,mm,Open-Meteo
27/07/2026 09:00,acumulado_obs_72h_mm,11.0,mm,Open-Meteo
27/07/2026 09:00,acumulado_obs_7d_mm,121.3,mm,Open-Meteo
27/07/2026 09:00,previsto_24h_mm,20.8,mm,Open-Meteo
27/07/2026 09:00,previsto_48h_mm,60.6,mm,Open-Meteo
27/07/2026 09:00,previsto_72h_mm,60.7,mm,Open-Meteo
27/07/2026 09:00,dias_chuva_intensa_5d,0,dias,Open-Meteo
27/07/2026 09:00,Aviso INMET (máx severidade),,-,INMET
27/07/2026 09:00,Qtd avisos INMET vigentes,0,un,INMET
27/07/2026 09:00,Chuva observada 24h,3.0,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
27/07/2026 09:00,Chuva observada 72h,3.0,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
27/07/2026 09:00,Chuva observada 7 dias,113.6,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
27/07/2026 09:00,Dias com chuva (últimos 5),1,dias,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
27/07/2026 09:00,Qualidade da série de chuva,114 mm/7d · cobertura 100%,-,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
27/07/2026 09:00,Fonte testada — INMET A801 — PORTO ALEGRE - JARDIM BOTANICO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
27/07/2026 09:00,Fonte testada — INMET B808 — CACHOEIRINHA,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
27/07/2026 09:00,Fonte testada — INMET B825 — PORTO ALEGRE - BELEM NOVO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
27/07/2026 09:00,Fonte testada — INMET B809 — SAPUCAIA DO SUL,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
27/07/2026 09:00,Fonte testada — INMET B824 — VIAMAO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
27/07/2026 09:00,Fonte testada — INMET B814 — MONTENEGRO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
27/07/2026 09:00,Fonte testada — CEMADEN,None mm/7d · REJEITADA · None,-,controle de qualidade
27/07/2026 09:00,Fonte testada — ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico),113.6 mm/7d · ACEITA · 114 mm/7d · cobertura 100%,-,controle de qualidade
27/07/2026 09:00,Chuva prevista 48h (Poaclima/Catavento),65.0,mm,Poaclima/Catavento
27/07/2026 09:00,Previsão 27/07 — Pancadas de chuva isoladas,30.0,mm,Poaclima/Catavento
27/07/2026 09:00,Previsão 28/07 — Chuva e raios,35.0,mm,Poaclima/Catavento
27/07/2026 09:00,Previsão 29/07 — Chuva e raios,40.0,mm,Poaclima/Catavento
27/07/2026 09:00,Previsão 30/07 — Sol entre nuvens,0.0,mm,Poaclima/Catavento
27/07/2026 09:00,Previsão 31/07 — Ensolarado,0.0,mm,Poaclima/Catavento
27/07/2026 09:00,Alerta Poaclima vigente,,-,Poaclima
27/07/2026 09:00,Chuva acumulada Poaclima,,mm,Poaclima
27/07/2026 09:00,Nível Usina do Gasômetro (Poaclima),1.22,m,Poaclima
27/07/2026 09:00,Nível Cais Mauá (Poaclima),1.73,m,Poaclima
27/07/2026 09:00,Nível Riacho Ipiranga (Poaclima),0.38,m,Poaclima
27/07/2026 09:00,Alertas regionais vigentes (Defesa Civil),3,un,Poaclima
27/07/2026 09:00,Alerta regional — (17) Ilhas,Alerta de risco alto · Inundação · até 27/07/2026 12:00,-,Poaclima/Defesa Civil
27/07/2026 09:00,Alerta regional — (15) Sul,Alerta de risco alto · Inundação · até 27/07/2026 12:00,-,Poaclima/Defesa Civil
27/07/2026 09:00,Alerta regional — (13) Extremo sul,Alerta de risco alto · Inundação · até 27/07/2026 12:00,-,Poaclima/Defesa Civil
