datahora_extracao,indicador,valor,unidade,fonte
28/07/2026 20:31,Nível Guaiba_PortoAlegre_CaisMaua,1.66,m,ANA / fallback
28/07/2026 20:31,Tendência 48h Guaiba_PortoAlegre_CaisMaua,-0.15,m/48h,ANA
28/07/2026 20:31,Nível Rio_Gravatai,4.7,m,ANA / fallback
28/07/2026 20:31,Tendência 48h Rio_Gravatai,0.07,m/48h,ANA
28/07/2026 20:31,Nível Rio_dos_Sinos_SaoLeopoldo,4.61,m,ANA / fallback
28/07/2026 20:31,Tendência 48h Rio_dos_Sinos_SaoLeopoldo,0.05,m/48h,ANA
28/07/2026 20:31,Nível Rio_Cai,8.29,m,ANA / fallback
28/07/2026 20:31,Tendência 48h Rio_Cai,3.77,m/48h,ANA
28/07/2026 20:31,Nível Rio_Cai_Montenegro,4.26,m,ANA / fallback
28/07/2026 20:31,Tendência 48h Rio_Cai_Montenegro,0.87,m/48h,ANA
28/07/2026 20:31,Nível Rio_Cai_NovaPalmira,3.7,m,ANA / fallback
28/07/2026 20:31,Tendência 48h Rio_Cai_NovaPalmira,1.98,m/48h,ANA
28/07/2026 20:31,Nível Rio_Jacui_Triunfo,9.47,m,ANA / fallback
28/07/2026 20:31,Tendência 48h Rio_Jacui_Triunfo,0.36,m/48h,ANA
28/07/2026 20:31,Cota de Atenção (Guaíba),2.05,m,Plano Contingência
28/07/2026 20:31,Cota de Alerta (Guaíba),2.5,m,Plano Contingência
28/07/2026 20:31,Cota de Inundação (Guaíba),3.0,m,Plano Contingência
28/07/2026 20:31,acumulado_obs_24h_mm,31.9,mm,Open-Meteo
28/07/2026 20:31,acumulado_obs_72h_mm,49.7,mm,Open-Meteo
28/07/2026 20:31,acumulado_obs_7d_mm,84.0,mm,Open-Meteo
28/07/2026 20:31,previsto_24h_mm,21.6,mm,Open-Meteo
28/07/2026 20:31,previsto_48h_mm,21.6,mm,Open-Meteo
28/07/2026 20:31,previsto_72h_mm,21.6,mm,Open-Meteo
28/07/2026 20:31,dias_chuva_intensa_5d,0,dias,Open-Meteo
28/07/2026 20:31,Aviso INMET (máx severidade),,-,INMET
28/07/2026 20:31,Qtd avisos INMET vigentes,0,un,INMET
28/07/2026 20:31,Chuva observada 24h,26.0,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
28/07/2026 20:31,Chuva observada 72h,57.8,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
28/07/2026 20:31,Chuva observada 7 dias,84.0,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
28/07/2026 20:31,Dias com chuva (últimos 5),2,dias,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
28/07/2026 20:31,Qualidade da série de chuva,84 mm/7d · cobertura 100%,-,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
28/07/2026 20:31,Fonte testada — INMET A801 — PORTO ALEGRE - JARDIM BOTANICO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
28/07/2026 20:31,Fonte testada — INMET B808 — CACHOEIRINHA,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
28/07/2026 20:31,Fonte testada — INMET B825 — PORTO ALEGRE - BELEM NOVO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
28/07/2026 20:31,Fonte testada — INMET B809 — SAPUCAIA DO SUL,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
28/07/2026 20:31,Fonte testada — INMET B824 — VIAMAO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
28/07/2026 20:31,Fonte testada — INMET B814 — MONTENEGRO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
28/07/2026 20:31,Fonte testada — CEMADEN,None mm/7d · REJEITADA · None,-,controle de qualidade
28/07/2026 20:31,Fonte testada — ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico),84.0 mm/7d · ACEITA · 84 mm/7d · cobertura 100%,-,controle de qualidade
28/07/2026 20:31,Chuva prevista 48h (Poaclima/Catavento),90.0,mm,Poaclima/Catavento
28/07/2026 20:31,Previsão 28/07 — Chuva e raios,50.0,mm,Poaclima/Catavento
28/07/2026 20:31,Previsão 29/07 — Chuva e raios,40.0,mm,Poaclima/Catavento
28/07/2026 20:31,Previsão 30/07 — Sol entre nuvens,0.0,mm,Poaclima/Catavento
28/07/2026 20:31,Previsão 31/07 — Ensolarado,0.0,mm,Poaclima/Catavento
28/07/2026 20:31,Previsão 01/08 — Chuvas isoladas e sol,10.0,mm,Poaclima/Catavento
28/07/2026 20:31,Alerta Poaclima vigente,,-,Poaclima
28/07/2026 20:31,Chuva acumulada Poaclima,,mm,Poaclima
28/07/2026 20:31,Nível Usina do Gasômetro (Poaclima),1.18,m,Poaclima
28/07/2026 20:31,Nível Cais Mauá (Poaclima),1.66,m,Poaclima
28/07/2026 20:31,Nível Riacho Ipiranga (Poaclima),0.38,m,Poaclima
28/07/2026 20:31,Alertas regionais vigentes (Defesa Civil),17,un,Poaclima
28/07/2026 20:31,Alerta regional — (10) Cruzeiro,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
28/07/2026 20:31,Alerta regional — (17) Ilhas,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
28/07/2026 20:31,Alerta regional — (5) Norte,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
28/07/2026 20:31,Alerta regional — (2) Noroeste,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
28/07/2026 20:31,Alerta regional — (14) Eixo baltazar,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
28/07/2026 20:31,Alerta regional — (6) Nordeste,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
28/07/2026 20:31,Alerta regional — (3) Leste,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
28/07/2026 20:31,Alerta regional — (9) Glória,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
28/07/2026 20:31,Alerta regional — (12) Centro sul,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
28/07/2026 20:31,Alerta regional — (8) Restinga,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
28/07/2026 20:31,Alerta regional — (15) Sul,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
28/07/2026 20:31,Alerta regional — (13) Extremo sul,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
28/07/2026 20:31,Alerta regional — (1) Humaitá,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
28/07/2026 20:31,Alerta regional — (16) Centro,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
28/07/2026 20:31,Alerta regional — (7) Partenon,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
28/07/2026 20:31,Alerta regional — (4) Lomba do pinheiro,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
