datahora_extracao,indicador,valor,unidade,fonte
29/07/2026 00:01,Nível Guaiba_PortoAlegre_CaisMaua,1.74,m,ANA / fallback
29/07/2026 00:01,Tendência 48h Guaiba_PortoAlegre_CaisMaua,-0.02,m/48h,ANA
29/07/2026 00:01,Nível Rio_Gravatai,4.7,m,ANA / fallback
29/07/2026 00:01,Tendência 48h Rio_Gravatai,0.07,m/48h,ANA
29/07/2026 00:01,Nível Rio_dos_Sinos_SaoLeopoldo,4.6,m,ANA / fallback
29/07/2026 00:01,Tendência 48h Rio_dos_Sinos_SaoLeopoldo,0.05,m/48h,ANA
29/07/2026 00:01,Nível Rio_Cai,9.32,m,ANA / fallback
29/07/2026 00:01,Tendência 48h Rio_Cai,4.95,m/48h,ANA
29/07/2026 00:01,Nível Rio_Cai_Montenegro,4.92,m,ANA / fallback
29/07/2026 00:01,Tendência 48h Rio_Cai_Montenegro,1.68,m/48h,ANA
29/07/2026 00:01,Nível Rio_Cai_NovaPalmira,3.53,m,ANA / fallback
29/07/2026 00:01,Tendência 48h Rio_Cai_NovaPalmira,1.82,m/48h,ANA
29/07/2026 00:01,Nível Rio_Jacui_Triunfo,9.47,m,ANA / fallback
29/07/2026 00:01,Tendência 48h Rio_Jacui_Triunfo,0.36,m/48h,ANA
29/07/2026 00:01,Cota de Atenção (Guaíba),2.05,m,Plano Contingência
29/07/2026 00:01,Cota de Alerta (Guaíba),2.5,m,Plano Contingência
29/07/2026 00:01,Cota de Inundação (Guaíba),3.0,m,Plano Contingência
29/07/2026 00:01,acumulado_obs_24h_mm,30.4,mm,Open-Meteo
29/07/2026 00:01,acumulado_obs_72h_mm,53.9,mm,Open-Meteo
29/07/2026 00:01,acumulado_obs_7d_mm,82.3,mm,Open-Meteo
29/07/2026 00:01,previsto_24h_mm,16.3,mm,Open-Meteo
29/07/2026 00:01,previsto_48h_mm,16.3,mm,Open-Meteo
29/07/2026 00:01,previsto_72h_mm,16.3,mm,Open-Meteo
29/07/2026 00:01,dias_chuva_intensa_5d,0,dias,Open-Meteo
29/07/2026 00:01,Aviso INMET (máx severidade),,-,INMET
29/07/2026 00:01,Qtd avisos INMET vigentes,0,un,INMET
29/07/2026 00:01,Chuva observada 24h,27.2,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
29/07/2026 00:01,Chuva observada 72h,59.0,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
29/07/2026 00:01,Chuva observada 7 dias,85.2,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
29/07/2026 00:01,Dias com chuva (últimos 5),2,dias,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
29/07/2026 00:01,Qualidade da série de chuva,85 mm/7d · cobertura 100%,-,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
29/07/2026 00:01,Fonte testada — INMET A801 — PORTO ALEGRE - JARDIM BOTANICO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
29/07/2026 00:01,Fonte testada — INMET B808 — CACHOEIRINHA,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
29/07/2026 00:01,Fonte testada — INMET B825 — PORTO ALEGRE - BELEM NOVO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
29/07/2026 00:01,Fonte testada — INMET B809 — SAPUCAIA DO SUL,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
29/07/2026 00:01,Fonte testada — INMET B824 — VIAMAO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
29/07/2026 00:01,Fonte testada — INMET B814 — MONTENEGRO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
29/07/2026 00:01,Fonte testada — CEMADEN,None mm/7d · REJEITADA · None,-,controle de qualidade
29/07/2026 00:01,Fonte testada — ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico),85.2 mm/7d · ACEITA · 85 mm/7d · cobertura 100%,-,controle de qualidade
29/07/2026 00:01,Chuva prevista 48h (Poaclima/Catavento),40.0,mm,Poaclima/Catavento
29/07/2026 00:01,Previsão 29/07 — Chuva e raios,40.0,mm,Poaclima/Catavento
29/07/2026 00:01,Previsão 30/07 — Sol entre nuvens,0.0,mm,Poaclima/Catavento
29/07/2026 00:01,Previsão 31/07 — Ensolarado,0.0,mm,Poaclima/Catavento
29/07/2026 00:01,Previsão 01/08 — Chuvas isoladas e sol,10.0,mm,Poaclima/Catavento
29/07/2026 00:01,Alerta Poaclima vigente,,-,Poaclima
29/07/2026 00:01,Chuva acumulada Poaclima,,mm,Poaclima
29/07/2026 00:01,Nível Usina do Gasômetro (Poaclima),1.26,m,Poaclima
29/07/2026 00:01,Nível Cais Mauá (Poaclima),1.74,m,Poaclima
29/07/2026 00:01,Nível Riacho Ipiranga (Poaclima),0.38,m,Poaclima
29/07/2026 00:01,Alertas regionais vigentes (Defesa Civil),17,un,Poaclima
29/07/2026 00:01,Alerta regional — (10) Cruzeiro,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
29/07/2026 00:01,Alerta regional — (17) Ilhas,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
29/07/2026 00:01,Alerta regional — (5) Norte,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
29/07/2026 00:01,Alerta regional — (2) Noroeste,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
29/07/2026 00:01,Alerta regional — (14) Eixo baltazar,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
29/07/2026 00:01,Alerta regional — (6) Nordeste,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
29/07/2026 00:01,Alerta regional — (3) Leste,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
29/07/2026 00:01,Alerta regional — (9) Glória,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
29/07/2026 00:01,Alerta regional — (12) Centro sul,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
29/07/2026 00:01,Alerta regional — (8) Restinga,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
29/07/2026 00:01,Alerta regional — (15) Sul,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
29/07/2026 00:01,Alerta regional — (13) Extremo sul,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
29/07/2026 00:01,Alerta regional — (1) Humaitá,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
29/07/2026 00:01,Alerta regional — (16) Centro,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
29/07/2026 00:01,Alerta regional — (7) Partenon,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
29/07/2026 00:01,Alerta regional — (4) Lomba do pinheiro,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
29/07/2026 00:01,Alerta regional — (11) Cristal,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
