datahora_extracao,indicador,valor,unidade,fonte
29/07/2026 09:01,Nível Guaiba_PortoAlegre_CaisMaua,1.95,m,ANA / fallback
29/07/2026 09:01,Tendência 48h Guaiba_PortoAlegre_CaisMaua,0.22,m/48h,ANA
29/07/2026 09:01,Nível Rio_Gravatai,4.81,m,ANA / fallback
29/07/2026 09:01,Tendência 48h Rio_Gravatai,0.18,m/48h,ANA
29/07/2026 09:01,Nível Rio_dos_Sinos_SaoLeopoldo,4.74,m,ANA / fallback
29/07/2026 09:01,Tendência 48h Rio_dos_Sinos_SaoLeopoldo,0.2,m/48h,ANA
29/07/2026 09:01,Nível Rio_Cai,11.24,m,ANA / fallback
29/07/2026 09:01,Tendência 48h Rio_Cai,7.18,m/48h,ANA
29/07/2026 09:01,Nível Rio_Cai_Montenegro,6.09,m,ANA / fallback
29/07/2026 09:01,Tendência 48h Rio_Cai_Montenegro,3.19,m/48h,ANA
29/07/2026 09:01,Nível Rio_Cai_NovaPalmira,5.18,m,ANA / fallback
29/07/2026 09:01,Tendência 48h Rio_Cai_NovaPalmira,3.49,m/48h,ANA
29/07/2026 09:01,Nível Rio_Jacui_Triunfo,9.47,m,ANA / fallback
29/07/2026 09:01,Tendência 48h Rio_Jacui_Triunfo,0.36,m/48h,ANA
29/07/2026 09:01,Cota de Atenção (Guaíba),2.05,m,Plano Contingência
29/07/2026 09:01,Cota de Alerta (Guaíba),2.5,m,Plano Contingência
29/07/2026 09:01,Cota de Inundação (Guaíba),3.0,m,Plano Contingência
29/07/2026 09:01,acumulado_obs_24h_mm,25.9,mm,Open-Meteo
29/07/2026 09:01,acumulado_obs_72h_mm,73.7,mm,Open-Meteo
29/07/2026 09:01,acumulado_obs_7d_mm,98.7,mm,Open-Meteo
29/07/2026 09:01,previsto_24h_mm,0.5,mm,Open-Meteo
29/07/2026 09:01,previsto_48h_mm,0.5,mm,Open-Meteo
29/07/2026 09:01,previsto_72h_mm,0.5,mm,Open-Meteo
29/07/2026 09:01,dias_chuva_intensa_5d,0,dias,Open-Meteo
29/07/2026 09:01,Aviso INMET (máx severidade),,-,INMET
29/07/2026 09:01,Qtd avisos INMET vigentes,0,un,INMET
29/07/2026 09:01,Chuva observada 24h,45.4,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
29/07/2026 09:01,Chuva observada 72h,99.8,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
29/07/2026 09:01,Chuva observada 7 dias,122.6,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
29/07/2026 09:01,Dias com chuva (últimos 5),3,dias,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
29/07/2026 09:01,Qualidade da série de chuva,123 mm/7d · cobertura 100%,-,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
29/07/2026 09:01,Fonte testada — INMET A801 — PORTO ALEGRE - JARDIM BOTANICO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
29/07/2026 09:01,Fonte testada — INMET B808 — CACHOEIRINHA,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
29/07/2026 09:01,Fonte testada — INMET B825 — PORTO ALEGRE - BELEM NOVO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
29/07/2026 09:01,Fonte testada — INMET B809 — SAPUCAIA DO SUL,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
29/07/2026 09:01,Fonte testada — INMET B824 — VIAMAO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
29/07/2026 09:01,Fonte testada — INMET B814 — MONTENEGRO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
29/07/2026 09:01,Fonte testada — CEMADEN,None mm/7d · REJEITADA · None,-,controle de qualidade
29/07/2026 09:01,Fonte testada — ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico),122.6 mm/7d · ACEITA · 123 mm/7d · cobertura 100%,-,controle de qualidade
29/07/2026 09:01,Chuva prevista 48h (Poaclima/Catavento),50.0,mm,Poaclima/Catavento
29/07/2026 09:01,Previsão 29/07 — Chuva e raios,50.0,mm,Poaclima/Catavento
