datahora_extracao,indicador,valor,unidade,fonte
29/07/2026 02:30,Nível Guaiba_PortoAlegre_CaisMaua,1.79,m,ANA / fallback
29/07/2026 02:30,Tendência 48h Guaiba_PortoAlegre_CaisMaua,,m/48h,ANA
29/07/2026 02:30,Nível Rio_Gravatai,,m,ANA / fallback
29/07/2026 02:30,Tendência 48h Rio_Gravatai,,m/48h,ANA
29/07/2026 02:30,Nível Rio_dos_Sinos_SaoLeopoldo,,m,ANA / fallback
29/07/2026 02:30,Tendência 48h Rio_dos_Sinos_SaoLeopoldo,,m/48h,ANA
29/07/2026 02:30,Nível Rio_Cai,,m,ANA / fallback
29/07/2026 02:30,Tendência 48h Rio_Cai,,m/48h,ANA
29/07/2026 02:30,Nível Rio_Cai_Montenegro,,m,ANA / fallback
29/07/2026 02:30,Tendência 48h Rio_Cai_Montenegro,,m/48h,ANA
29/07/2026 02:30,Nível Rio_Cai_NovaPalmira,,m,ANA / fallback
29/07/2026 02:30,Tendência 48h Rio_Cai_NovaPalmira,,m/48h,ANA
29/07/2026 02:30,Nível Rio_Jacui_Triunfo,,m,ANA / fallback
29/07/2026 02:30,Tendência 48h Rio_Jacui_Triunfo,,m/48h,ANA
29/07/2026 02:30,Cota de Atenção (Guaíba),2.05,m,Plano Contingência
29/07/2026 02:30,Cota de Alerta (Guaíba),2.5,m,Plano Contingência
29/07/2026 02:30,Cota de Inundação (Guaíba),3.0,m,Plano Contingência
29/07/2026 02:30,acumulado_obs_24h_mm,38.6,mm,Open-Meteo
29/07/2026 02:30,acumulado_obs_72h_mm,62.6,mm,Open-Meteo
29/07/2026 02:30,acumulado_obs_7d_mm,89.9,mm,Open-Meteo
29/07/2026 02:30,previsto_24h_mm,7.6,mm,Open-Meteo
29/07/2026 02:30,previsto_48h_mm,7.6,mm,Open-Meteo
29/07/2026 02:30,previsto_72h_mm,7.6,mm,Open-Meteo
29/07/2026 02:30,dias_chuva_intensa_5d,0,dias,Open-Meteo
29/07/2026 02:30,Aviso INMET (máx severidade),,-,INMET
29/07/2026 02:30,Qtd avisos INMET vigentes,0,un,INMET
29/07/2026 02:30,Chuva observada 24h,38.6,mm,Open-Meteo (modelo global — reserva)
29/07/2026 02:30,Chuva observada 72h,62.6,mm,Open-Meteo (modelo global — reserva)
29/07/2026 02:30,Chuva observada 7 dias,89.9,mm,Open-Meteo (modelo global — reserva)
29/07/2026 02:30,Dias com chuva (últimos 5),4,dias,Open-Meteo (modelo global — reserva)
29/07/2026 02:30,Qualidade da série de chuva,fonte de reserva,-,Open-Meteo (modelo global — reserva)
