datahora_extracao,indicador,valor,unidade,fonte
29/07/2026 09:30,Nível Guaiba_PortoAlegre_CaisMaua,1.94,m,ANA / fallback
29/07/2026 09:30,Tendência 48h Guaiba_PortoAlegre_CaisMaua,0.23,m/48h,ANA
29/07/2026 09:30,Nível Rio_Gravatai,4.81,m,ANA / fallback
29/07/2026 09:30,Tendência 48h Rio_Gravatai,0.18,m/48h,ANA
29/07/2026 09:30,Nível Rio_dos_Sinos_SaoLeopoldo,4.75,m,ANA / fallback
29/07/2026 09:30,Tendência 48h Rio_dos_Sinos_SaoLeopoldo,0.22,m/48h,ANA
29/07/2026 09:30,Nível Rio_Cai,11.45,m,ANA / fallback
29/07/2026 09:30,Tendência 48h Rio_Cai,7.41,m/48h,ANA
29/07/2026 09:30,Nível Rio_Cai_Montenegro,6.13,m,ANA / fallback
29/07/2026 09:30,Tendência 48h Rio_Cai_Montenegro,3.24,m/48h,ANA
29/07/2026 09:30,Nível Rio_Cai_NovaPalmira,5.15,m,ANA / fallback
29/07/2026 09:30,Tendência 48h Rio_Cai_NovaPalmira,3.46,m/48h,ANA
29/07/2026 09:30,Nível Rio_Jacui_Triunfo,9.47,m,ANA / fallback
29/07/2026 09:30,Tendência 48h Rio_Jacui_Triunfo,0.36,m/48h,ANA
29/07/2026 09:30,Cota de Atenção (Guaíba),2.05,m,Plano Contingência
29/07/2026 09:30,Cota de Alerta (Guaíba),2.5,m,Plano Contingência
29/07/2026 09:30,Cota de Inundação (Guaíba),3.0,m,Plano Contingência
29/07/2026 09:30,acumulado_obs_24h_mm,25.9,mm,Open-Meteo
29/07/2026 09:30,acumulado_obs_72h_mm,73.7,mm,Open-Meteo
29/07/2026 09:30,acumulado_obs_7d_mm,98.7,mm,Open-Meteo
29/07/2026 09:30,previsto_24h_mm,0.5,mm,Open-Meteo
29/07/2026 09:30,previsto_48h_mm,0.5,mm,Open-Meteo
29/07/2026 09:30,previsto_72h_mm,0.5,mm,Open-Meteo
29/07/2026 09:30,dias_chuva_intensa_5d,0,dias,Open-Meteo
29/07/2026 09:30,Aviso INMET (máx severidade),,-,INMET
29/07/2026 09:30,Qtd avisos INMET vigentes,0,un,INMET
29/07/2026 09:30,Chuva observada 24h,45.4,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
29/07/2026 09:30,Chuva observada 72h,99.8,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
29/07/2026 09:30,Chuva observada 7 dias,122.6,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
29/07/2026 09:30,Dias com chuva (últimos 5),3,dias,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
29/07/2026 09:30,Qualidade da série de chuva,123 mm/7d · cobertura 100%,-,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
29/07/2026 09:30,Fonte testada — INMET A801 — PORTO ALEGRE - JARDIM BOTANICO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
29/07/2026 09:30,Fonte testada — INMET B808 — CACHOEIRINHA,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
29/07/2026 09:30,Fonte testada — INMET B825 — PORTO ALEGRE - BELEM NOVO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
29/07/2026 09:30,Fonte testada — INMET B809 — SAPUCAIA DO SUL,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
29/07/2026 09:30,Fonte testada — INMET B824 — VIAMAO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
29/07/2026 09:30,Fonte testada — INMET B814 — MONTENEGRO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
29/07/2026 09:30,Fonte testada — CEMADEN,None mm/7d · REJEITADA · None,-,controle de qualidade
29/07/2026 09:30,Fonte testada — ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico),122.6 mm/7d · ACEITA · 123 mm/7d · cobertura 100%,-,controle de qualidade
29/07/2026 09:30,Chuva prevista 48h (Poaclima/Catavento),50.0,mm,Poaclima/Catavento
29/07/2026 09:30,Previsão 29/07 — Chuva e raios,50.0,mm,Poaclima/Catavento
29/07/2026 09:30,Previsão 30/07 — Sol entre nuvens,0.0,mm,Poaclima/Catavento
29/07/2026 09:30,Previsão 31/07 — Ensolarado,0.0,mm,Poaclima/Catavento
29/07/2026 09:30,Previsão 01/08 — Pancadas de chuva isoladas,10.0,mm,Poaclima/Catavento
29/07/2026 09:30,Previsão 02/08 — Encoberto e chuva,5.0,mm,Poaclima/Catavento
29/07/2026 09:30,Alerta Poaclima vigente,,-,Poaclima
29/07/2026 09:30,Chuva acumulada Poaclima,,mm,Poaclima
29/07/2026 09:30,Nível Usina do Gasômetro (Poaclima),1.41,m,Poaclima
29/07/2026 09:30,Nível Cais Mauá (Poaclima),1.95,m,Poaclima
29/07/2026 09:30,Nível Riacho Ipiranga (Poaclima),0.38,m,Poaclima
29/07/2026 09:30,Alertas regionais vigentes (Defesa Civil),17,un,Poaclima
29/07/2026 09:30,Alerta regional — (10) Cruzeiro,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
29/07/2026 09:30,Alerta regional — (17) Ilhas,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
29/07/2026 09:30,Alerta regional — (5) Norte,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
