datahora_extracao,indicador,valor,unidade,fonte
28/07/2026 20:21,Nível Guaiba_PortoAlegre_CaisMaua,1.66,m,ANA / fallback
28/07/2026 20:21,Tendência 48h Guaiba_PortoAlegre_CaisMaua,-0.15,m/48h,ANA
28/07/2026 20:21,Nível Rio_Gravatai,4.7,m,ANA / fallback
28/07/2026 20:21,Tendência 48h Rio_Gravatai,0.07,m/48h,ANA
28/07/2026 20:21,Nível Rio_dos_Sinos_SaoLeopoldo,4.61,m,ANA / fallback
28/07/2026 20:21,Tendência 48h Rio_dos_Sinos_SaoLeopoldo,0.05,m/48h,ANA
28/07/2026 20:21,Nível Rio_Cai,8.2,m,ANA / fallback
28/07/2026 20:21,Tendência 48h Rio_Cai,3.67,m/48h,ANA
28/07/2026 20:21,Nível Rio_Cai_Montenegro,4.21,m,ANA / fallback
28/07/2026 20:21,Tendência 48h Rio_Cai_Montenegro,0.81,m/48h,ANA
28/07/2026 20:21,Nível Rio_Cai_NovaPalmira,3.7,m,ANA / fallback
28/07/2026 20:21,Tendência 48h Rio_Cai_NovaPalmira,1.98,m/48h,ANA
28/07/2026 20:21,Nível Rio_Jacui_Triunfo,9.47,m,ANA / fallback
28/07/2026 20:21,Tendência 48h Rio_Jacui_Triunfo,0.36,m/48h,ANA
28/07/2026 20:21,Cota de Atenção (Guaíba),2.05,m,Plano Contingência
28/07/2026 20:21,Cota de Alerta (Guaíba),2.5,m,Plano Contingência
28/07/2026 20:21,Cota de Inundação (Guaíba),3.0,m,Plano Contingência
28/07/2026 20:21,acumulado_obs_24h_mm,31.9,mm,Open-Meteo
28/07/2026 20:21,acumulado_obs_72h_mm,49.7,mm,Open-Meteo
28/07/2026 20:21,acumulado_obs_7d_mm,84.0,mm,Open-Meteo
28/07/2026 20:21,previsto_24h_mm,21.6,mm,Open-Meteo
28/07/2026 20:21,previsto_48h_mm,21.6,mm,Open-Meteo
28/07/2026 20:21,previsto_72h_mm,21.6,mm,Open-Meteo
28/07/2026 20:21,dias_chuva_intensa_5d,0,dias,Open-Meteo
28/07/2026 20:21,Aviso INMET (máx severidade),,-,INMET
28/07/2026 20:21,Qtd avisos INMET vigentes,0,un,INMET
28/07/2026 20:21,Chuva observada 24h,26.0,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
28/07/2026 20:21,Chuva observada 72h,57.8,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
28/07/2026 20:21,Chuva observada 7 dias,84.0,mm,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
28/07/2026 20:21,Dias com chuva (últimos 5),2,dias,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
28/07/2026 20:21,Qualidade da série de chuva,84 mm/7d · cobertura 100%,-,ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico)
28/07/2026 20:21,Fonte testada — INMET A801 — PORTO ALEGRE - JARDIM BOTANICO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
28/07/2026 20:21,Fonte testada — INMET B808 — CACHOEIRINHA,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
28/07/2026 20:21,Fonte testada — INMET B825 — PORTO ALEGRE - BELEM NOVO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
28/07/2026 20:21,Fonte testada — INMET B809 — SAPUCAIA DO SUL,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
28/07/2026 20:21,Fonte testada — INMET B824 — VIAMAO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
28/07/2026 20:21,Fonte testada — INMET B814 — MONTENEGRO,None mm/7d · REJEITADA · HTTP 204 — estação sem transmitir,-,controle de qualidade
28/07/2026 20:21,Fonte testada — CEMADEN,None mm/7d · REJEITADA · None,-,controle de qualidade
28/07/2026 20:21,Fonte testada — ANA Gravataí (Passo das Canoas) (pluviômetro telemétrico),84.0 mm/7d · ACEITA · 84 mm/7d · cobertura 100%,-,controle de qualidade
28/07/2026 20:21,Chuva prevista 48h (Poaclima/Catavento),90.0,mm,Poaclima/Catavento
28/07/2026 20:21,Previsão 28/07 — Chuva e raios,50.0,mm,Poaclima/Catavento
28/07/2026 20:21,Previsão 29/07 — Chuva e raios,40.0,mm,Poaclima/Catavento
28/07/2026 20:21,Previsão 30/07 — Sol entre nuvens,0.0,mm,Poaclima/Catavento
28/07/2026 20:21,Previsão 31/07 — Ensolarado,0.0,mm,Poaclima/Catavento
28/07/2026 20:21,Previsão 01/08 — Chuvas isoladas e sol,10.0,mm,Poaclima/Catavento
28/07/2026 20:21,Alerta Poaclima vigente,,-,Poaclima
28/07/2026 20:21,Chuva acumulada Poaclima,,mm,Poaclima
28/07/2026 20:21,Nível Usina do Gasômetro (Poaclima),1.18,m,Poaclima
28/07/2026 20:21,Nível Cais Mauá (Poaclima),1.66,m,Poaclima
28/07/2026 20:21,Nível Riacho Ipiranga (Poaclima),0.38,m,Poaclima
28/07/2026 20:21,Alertas regionais vigentes (Defesa Civil),17,un,Poaclima
28/07/2026 20:21,Alerta regional — (10) Cruzeiro,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
28/07/2026 20:21,Alerta regional — (17) Ilhas,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
28/07/2026 20:21,Alerta regional — (5) Norte,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
28/07/2026 20:21,Alerta regional — (2) Noroeste,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
28/07/2026 20:21,Alerta regional — (14) Eixo baltazar,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
28/07/2026 20:21,Alerta regional — (6) Nordeste,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
28/07/2026 20:21,Alerta regional — (3) Leste,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
28/07/2026 20:21,Alerta regional — (9) Glória,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
28/07/2026 20:21,Alerta regional — (12) Centro sul,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
28/07/2026 20:21,Alerta regional — (8) Restinga,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
28/07/2026 20:21,Alerta regional — (15) Sul,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
28/07/2026 20:21,Alerta regional — (13) Extremo sul,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
28/07/2026 20:21,Alerta regional — (1) Humaitá,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
28/07/2026 20:21,Alerta regional — (16) Centro,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
28/07/2026 20:21,Alerta regional — (7) Partenon,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
28/07/2026 20:21,Alerta regional — (4) Lomba do pinheiro,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
28/07/2026 20:21,Alerta regional — (11) Cristal,Alerta de risco alto · Tempestade – Chuvas Intensas · até 29/07/2026 15:00,-,Poaclima/Defesa Civil
